,Idx,Common name,Binomial,Notes,Category,Order,Family,colour,size,Common_name_lowercase,link,Height,Length,Weight,Image,Voice,Habitat,Description,Range,Movements,Reproduction,Diet,Protection,Sources
166,166,Soft-plumaged petrel,Pterodroma mollis,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,soft-plumaged-petrel,http://www.oiseaux-birds.com/card-soft-plumaged-petrel.html,,35 cm,250-380 g,http://www.oiseaux-birds.com/procellariiformes/procellarides/petrel-soyeux/petrel-soyeux-op2.jpg,,"The Soft-plumaged  Petrel is marine and highly pelagic. It comes to land only for breeding in  colonies established on steep slopes among rocks, tussock grass and ferns, and  in lava fields depending on the island. The colonies are often in coastal  areas, or occasionally inland.","Biometrics: 
    Length:  35 cm
    Wingspan:  83-95 cm
    Weight:  250-380 g
The adult  has brownish-grey upperparts from head to tail, with a dark, variable, M-shaped  pattern across upperparts and upperwings. Usually, the upperwings appear  darker. The tail is often paler on outer rectrices. 
    The underparts  are white, including chin and throat. We can see a variable conspicuous grey  breast band. The underwing may show sometimes an indistinct greyish wash at  base of primaries, but it usually appears rather dark greyish and fairly  uniform.
The head  is dark grey with conspicuous white cheeks, chin and throat. The grey forehead  is speckled white. We can see a prominent blackish eye patch contrasting with  the whitish sides of the forehead. 
    The bill  is black. The eyes are blackish. Legs and webbed feet are pinkish with dark  tips to toes.","The Soft-plumaged  Petrel is found in Southern Ocean. It breeds on several subantarctic islands  such as Tristan da Cunha and Gough Island, Prince Edward, Crozet, Kerguelen and  Amsterdam Islands, and Antipodes Island, SE of New Zealand. From some recent  records, this species also breeds on Maatsuyker Island, off S Tasmania.",,"OF THIS SPECIES:  
    The breeding  season starts usually in September. Once returned to the colonies, the Soft-plumaged  Petrel performs a pre-laying exodus of 4-5 weeks. The egg-laying period may  vary according to the islands. 
    It nests  in colonies established in coastal areas among tussock grass and ferns or  rocks, on steep slopes.
    The self-excavated  burrow ranges between 60 and 280 centimetres long, and is often occupied by two  pairs.",,"The Soft-plumaged  Petrel is still threatened by introduced predators such as mice, rats and cats  on some breeding islands, with in addition the predation by skuas. Predation occurs mainly on  Marion, Crozet and Kerguelen Islands. 
    Habitat destruction  due to erosion caused by fur seals at colonies is another problem. 
    However,  in spite of these threats, this species has stable population estimated at  least at 5,000,000 individuals in 2004. 
    The Soft-plumaged  Petrel is currently evaluated as Least Concern.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew  Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
A Complete Guide to Antarctic Wildlife by Hadoram Shirihai and  Illustrated by Brett Jarrett - Edited by Guy M. Kirwan - ALUL.A Press Oy,  Finland - ISBN 9519894705
Avibase (Lepage Denis)  
BirdLife International (BirdLife International)  
Department of Sustainability, Environment,  Water, Population and Communities 
New Zealand Birds Online  
New Zealand birds and birding (Narena Olliver)  
AVIBIRDS.COM 
HBW Alive"
167,167,White-headed petrel,Pterodroma lessonii,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,white-headed-petrel,http://www.oiseaux-birds.com/card-white-headed-petrel.html,,40-46 cm,580-800 g,http://www.oiseaux-birds.com/procellariiformes/procellarides/petrel-lesson/petrel-lesson-op.jpg,,"The  White-headed Petrel comes rarely on land except for breeding. It is marine and  highly pelagic, reaching inshore waters during the storms. 
    The  breeding areas can be near the coasts or inland, on plateaux or above coastal  cliffs, up to 300 metres above sea-level. The nest-site is on flat ground or  slopes, often with some vegetation.","rodroma lessonii
Procellariiformes Order – Procellariidae  Family
INTRODUCTION:
    The  White-headed Petrel is a member of Pterodroma genus which includes the seabirds  known as “gadfly petrels”. This name is related to the high soaring flight at  sea performed by these birds. 
    This  species has distant feeding grounds and this flight allow it to travel long  distances from land. It is strictly nocturnal when breeding, in order to avoid  predation by the Brown Skua (Stercorarius antarcticus). 
DESCRIPTION OF THE BIRD:
Biometrics: 
    Length:  40-46 cm
    Wingspan:  109 cm
    Weight:  580-800 g
The  adult is grey and white. The upperparts are pale grey, with darker grey  upperwing. Head, rump and tail are whitish. 
    The  underparts are white, contrasting with the dark underwing. 
    The head  is white with conspicuous dark eye patch and partial grey collar. 
    The bill  is black. The eyes are dark brown. Legs and webbed feet are pinkish-white with  black patches on toes. 
    Both  sexes are similar, and the juvenile resembles adults.","The  White-headed Petrel breeds in New Zealand region on several sub Antarctic  islands such as Kerguelen, Crozet, Macquarie, Auckland and Antipodes Islands. It  may breed too on Campbell, Marion and Prince Edward Islands.",,"OF THIS SPECIES: 
    The  breeding season takes place from August to June. 
    The  White-headed Petrel nests in burrow or cave, on flat ground or slope, often  with tussock grass, ferns and shrubs. The burrow is dug in soft soil or scree.  The nest is at the end of the long tunnel, and well lined with soft materials.",,"The  White-headed Petrel is declining, due to predation by cats, rats, skuas and Wekas (Gallirallus australis)  which may involve local extinctions. Rabbits destroy burrows and nesting  grounds. The management of the introduced fauna is needed, in order to stop the  decrease of the population estimated at about 600,000 birds. 
    But  currently, the White-headed Petrel is evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
New Zealand Birds Online  
New Zealand birds and birding (Narena Olliver)  
HBW Alive 
PLANETOFBIRDS.COM 
 
Home  page 
Page family Procellariidae
Summary  cards"
168,168,Great-winged petrel,Pterodroma macroptera,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,great-winged-petrel,http://www.oiseaux-birds.com/card-great-winged-petrel.html,,38-40 cm,385-680 g,http://www.oiseaux-birds.com/procellariiformes/procellarides/petrel-noir/petrel-noir-at2.jpg,,"The Great-winged  Petrel is highly pelagic and although being widespread, it is sparsely  distributed at sea. However, outside the breeding season, they gather at sea off  South Africa, usually in deep waters. Densities are less important over the  continental shelf.
    During the  breeding season, it nests in burrows on flat ground, ridges and slopes of  several subantarctic islands, between 400 and 1400 metres of elevation.","rodroma macroptera
Procellariiformes Order – Porcellariidae Family
INTRODUCTION: 
    The Great-winged  Petrel is now a monotypic species, but it was recently still treated as  conspecific with P. gouldi (Grey-faced Petrel). 
    This dark  petrel is highly pelagic and comes ashore only for breeding. It breeds on  subantarctic and Antarctic islands where it nests in burrows. 
    This species  is affected by illegal harvesting at colonies, and by mammalian predators  introduced to the islands, although several breeding islands are today  predator-free. 
DESCRIPTION OF THE BIRD:
Biometrics: 
    Length:  38-40 cm
    Wingspan:  97-100 cm
    Weight:  385-680 g
The Great-winged  Petrel adult is fairly large. It has dark plumage overall, mostly sooty brown  with variable paler and greyer area at base of bill.
    The underwing  appears uniformly dark, but according to the light, the greater coverts are  paler and greyer, and a slightly silvery patch is visible at base of primaries. 
    The wings  are long and pointed. The tail is wedge-shaped. 
On the  dark head, the bill is black with hooked tip. The eyes are blackish-brown. Legs  and webbed feet are black. 
Male and  female are similar.
    The juvenile  has a pale grey area around the bill and mostly black plumage at fledging.","The Great-winged  Petrel is found in Southern Ocean off W Australia and N New Zealand. It breeds  on Tristan da Cunha and Gough, Marion, Crozet, Kerguelen and Amsterdam Islands.",,"OF THIS SPECIES: 
    The Great-winged  Petrel breeds in winter. The birds return to the colonies in late  January/February, and perform a pre-laying exodus during several days. It may  nest solitary or in loose colonies where they have strictly nocturnal habits. 
    It excavates  the burrow of 60 to 290 centimetres long, but they also use rock crevices when  available, or the nest-site is established under the vegetation or in the  shelter of tree roots. The nest is lined with leaves and twigs.",,"The Great-winged  Petrel is fairly widespread but it is affected by introduced predators on its breeding  islands, threatened by longline trawlers and illegal harvesting at some  colonies. However, some breeding islands are today predator-free. 
    The population  is suspected to be declining. The global population is estimated at 500,000  breeding pairs and 1,500,000 individuals across the wide range.
    Despite these  threats, the Great-winged Petrel is currently evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
A  Complete Guide to Antarctic Wildlife by Hadoram Shirihai and Illustrated by Brett  Jarrett - Edited by Guy M. Kirwan - ALUL.A Press Oy, Finland - ISBN 9519894705
Avibase (Lepage Denis) 
BirdLife International 
What Bird-The ultimate Bird Guide  (Mitchell Waite) 
PLANETOFBIRDS.COM 
New Zealand birds and birding (Narena Olliver)  
HBW Alive 
Marine Ornithology 
Biodiversity Explorer – The Web of  Life in Southern Africa  
 
Home  page 
Page family Procellariidae
Summary Cards"
177,177,Common diving petrel,Pelecanoides urinatrix,,"Fulmars, petrels and shearwaters",Procellariiformes,Procellariidae,,,common-diving-petrel,http://www.oiseaux-birds.com/card-common-diving-petrel.html,,20-25 cm,86-185 g,http://www.oiseaux-birds.com/procellariiformes/pelecanoidides/puffinure-plongeur/puffinure-plongeur-ja1.jpg,,"The Common  Diving-Petrel frequents both inshore and offshore waters, but it is mainly an  inshore feeder and usually occurs in coastal waters close to the breeding  sites. It breeds on islands, often on steep slopes with dense tussock grass. The  breeding colonies are usually established in coastal areas, but also well  inland.","lecanoides urinatrix
Procellariiformes Order – Pelecanoididae Family
INTRODUCTION:
    The diving-petrel’s  taxonomy is still a matter of some debate, and depending on the authors, these  birds can be placed in the family Procellariidae or in the family Pelecanoididae  (like on this page). There are four species of small, stocky seabirds highly  adapted to the aquatic life. 
    The Common  Diving-Petrel has the widest range, but it is threatened by introduced and  invasive species on the breeding islands where it nests in burrows.
DESCRIPTION OF THE BIRD: 
Biometrics: 
    Length:  20-25 cm
    Wingspan:  33-38 cm
    Weight:  86-185 g
The adult  is very similar to the Little Auk or  Dovekie (Alle alle) of the Northern Hemisphere. But there is any relation  between the two families. 
    The upperparts,  including upperwing and uppertail, are grey-black. The short, rounded wings are  browner, especially on primaries. In fresh plumage, the rectrices have whitish  tips. 
  The underparts  are dusky white with grey underwing, mostly dark grey on axillaries and  marginal coverts. The undertail is grey. There are some grey spots on body  sides and rear flanks. 
On the  head, we can see a blackish-grey mask through the eyes and on anterior  ear-coverts. Supercilium and neck-sides are dull white. There is a large grey  to dark grey patch on breast-sides, sometimes forming a complete collar.   
The short,  broad-based, hooked bill is blackish-grey, but the lower mandible has paler  base and pale horn spot at centre. It is formed by several horny plates. The two  external tubular nostrils are open upwards (forwards in other petrels) as an  adaptation for diving. The eyes are dark brown. Legs and webbed feet are pale  blue with blackish webs and soles.","CIES AND RANGE:
    The Common  Diving-Petrel has six recognized subspecies.
P.u. urinatrix (here described) occurs in SW Pacific Ocean  and Tasman Sea. It breeds from SE Australia and Tasmania to N New Zealand, including the Cook Strait.",,"OF THIS SPECIES:  
    The breeding  season varies according to the range, but it occurs in July in the northernmost  parts, and until late December in the southernmost parts of the range. The Common  Diving-Petrel is away from the colonies only for 1-2 months. 
    It breeds  in colonies and nests in burrows excavated in soft soil under rocks protected  by dense tussock grass, or in rock crevices. The burrow of 25-150 centimetres  long is usually unlined, but sometimes, some feathers, grass or pebbles are added.",,"The Common  Diving-Petrel is threatened by introduced and invasive predators on the  breeding islands, such as feral cats and rats. On the other hand, cattle, sheep  and rabbits destroy the habitat in the breeding grounds. 
    The population  was estimated at 16,000,000 individuals in 2004. 
    This species  has wide range and in spite of possible decline, the Common Diving-Petrel is currently  evaluated as Least Concern.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
A  Complete Guide to Antarctic Wildlife by Hadoram Shirihai and Illustrated by Brett  Jarrett - Edited by Guy M. Kirwan - ALUL.A Press Oy, Finland - ISBN 9519894705
Avibase (Lepage Denis)  
BirdLife International (BirdLife  International)  
New Zealand Birds Online  
Australian Antarctic Division:  Leading Australia's Antarctic Program 
New Zealand birds and birding (Narena Olliver)  
Animal Diversity Web (University of Michigan Museum of Zoology)  
Tiritiri Matangi Open Sanctuary 
PLANETOFBIRDS.COM 
Wikipedia, the free encyclopaedia 
HBW Alive 
 
Home  page 
Summary Cards"
179,179,King penguin,Aptenodytes patagonicus,vagrant; Macquarie Island; Heard Island,Penguins,Sphenisciformes,Spheniscidae,,,king-penguin,http://www.oiseaux-birds.com/card-king-penguin.html,,85-95 cm,9 to 15 kg,http://www.oiseaux-birds.com/sphenisciformes/spheniscides/manchot-royal/manchot-royal-marche.jpg,,"King Penguin breeds on flat beaches, free of snow and  ice, with scattered clumps of grass and close to the sea. It spends much time  near the breeding area. King Penguin is pelagic outside the breeding season.","King Penguin is smaller than Emperor Penguin. It is  the second largest species of penguins. 
    Adult has dark grey to blackish upperparts, including  tail and flippers.
    Underparts are mainly white, but upper breast is  orange-yellow bordered with black stripe on sides, becoming paler towards the  lower breast. The under flippers is white, with conspicuous black tips. Leading  edge is black.","King Penguin lives and breeds on the sub-Antarctic  islands, as well as Tierra del Fuego, the Falklands,  and other temperate-cool islands in the same area.","King Penguin does not fly. It walks relatively easily  on land, and it also runs. In the snow, it moves by glides on the belly. It  swims very well, at speed of up to 12 km per hour, and its dives last 15 minutes  and more. It is able to dive from 150 to 300 metres depth, with  observations at 500   metres. It uses its flippers to “fly” underwater.","King Penguin arrives at breeding colony in  September-October, on flat coastal plains close to water. Their breeding cycle  differs of that of other species, and pairs breeds twice every three years,  because a full cycle lasts more than one year. That explains why eggs and large  downy chicks are seen together within the same colony.","King Penguin feeds mainly on small fish of about 15 cm, krill and squid. It  catches its preys by pursuit-diving, and can remain underwater during 15  minutes and more, diving from 150 to 200-300 metres depth. King  Penguin has often to travel hundreds of kilometres to find food.","King Penguin populations are stable or increasing, and  they are not globally threatened at this moment. 
King Penguin is preyed upon by Leopard seals and  Killer Whales which kill adults and great shorebirds such as skuas, sheathbills  and giant petrels which take eggs and attack the chicks.
                       
Fr: Manchot royal
All : Königspinguin
Esp :  Pingüino Rey
Ital : Pinguino reale
Nd : Koningspinguïn
Russe :  королевский пингвин","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del Hoyo-Andrew  Elliot-Jordi Sargatal - Lynx Edicions - ISBN:  8487334105
Avibase (Lepage Denis) 
Antarctic  Connection (Thomas Hutchings – Gloria Hutchings)
Animal Diversity Web (University of Michigan    Museum of Zoology) 
Les Manchots (François Durand) 
New Zealand birds and birding (Narena Olliver) 
Welcome to the wonderful world of penguins (Dr. Lloyd Davis) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
Longevity records"
180,180,Emperor penguin,Aptenodytes forsteri,"vagrant, Heard Island",Penguins,Sphenisciformes,Spheniscidae,,,emperor-penguin,http://www.oiseaux-birds.com/card-emperor-penguin.html,,112-115 cm,M: 35-45 kg &ndash; F: 28-32 kg,http://www.oiseaux-birds.com/sphenisciformes/spheniscides/manchot-empereur/manchot-empereur-op7.jpg,,"The  Emperor Penguin is marine and pelagic outside nesting period. The breeding  colonies are found on stable pack ice, usually near the coast, but sometimes up  to 18 km offshore. However, there are two small colonies on land. 
    Colonies  are usually sheltered by ice cliffs and icebergs which protect them from the  strong winds.
    The  Emperor Penguin is an offshore feeder and forages in the cold Antarctic waters.","tes forsteri
Sphenisciforme Order – Spheniscidae Family
INTRODUCTION:
    The  Emperor Penguin is the largest species of this family. It lives in very harsh  environment on the Antarctic ice, and forages in the surrounding cold waters.  This inhospitable habitat involves first physical adaptations, and then  co-operative behaviours, in order to survive, feed and breed in such extreme  conditions.  
    This  amazing bird has beautiful appearance as well as chick as adult. They spend all  the year between Antarctic ice and nearby waters. They are living on frozen  sea-ice where they breed in colonies.  
DESCRIPTION OF THE BIRD:
Biometrics:
    Length:  112-115 cm
    Weight:  M: 35-45 kg – F: 28-32 kg
The  adult has blue-grey upperparts and flippers, and black head and tail. 
    The  underparts are white, bordered by black band along the dark upperparts. 
    On the  head, there are deep yellow-orange ear patches on each side of the head, fading  and turning pale yellow to white down neck and upper breast. Head, chin and  throat are black.
    The bill  shows black upper mandible and pink to orange lower mandible. The eyes are  black. Legs and webbed feet are black with sharp black claws. 
Both  sexes are similar, with male slightly larger than female.
    The  immature resembles adults but ear-patches, chin and throat are white. 
    The  chick has silvery-grey down. The head is black with white eye area and cheeks.","The  Emperor Penguin is circumpolar and restricted to Antarctica. The breeding  colonies occur on the ice around the Antarctic continent, the Antarctic  Peninsula and the adjacent islands.",,"OF THIS SPECIES:
    They  arrive at colony in March/April, when the sunlight is decreasing. The laying  occurs in May/June. The Emperor Penguin is colonial but not territorial. They  do not build nest. 
    The  female lays a single egg which is transferred to the male, while the female  goes out to sea for feeding during two months. The male incubates the egg  during 35 days, by holding it on its feet against the brood patch. The  incubating males huddle together to avoid cold and wind. The male loses half of  its body weight during the incubation period.",,"The  Emperor Penguin will be threatened in the future by climate change involving  decrease in sea-ice concentration and thickness, and also by climatic weather  variations. Human disturbances in some areas, with the proximity of scientific  bases and aircrafts’ movements, are an important threat for colonies. 
    There  are 46 colonies with 238 000 breeding pairs (2012). 
    The  chicks on land are preyed upon by Giant Petrels. The adults are attacked at sea  by Leopard sea-lions, but immature and weak penguins are the most usual preys. 
    Currently,  the Emperor Penguin is listed as Near Threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions -  ISBN: 8487334105
Avibase (Lepage Denis) 
BirdLife International (BirdLife International) 
Animal Diversity Web (University of Michigan Museum of Zoology) 
PhotoVolcanica - Photography and Information by Dr Richard Roscoe 
ARKive (Christopher Parsons) 
PENGUINWORLD (Lloyd Spencer Davis) 
Les Manchots (François Durand) 
NATIONAL GEOGRAPHIC
Wikipedia, the free encyclopaedia"
181,181,Gentoo penguin,Pygoscelis papua,vagrant; Macquarie Island; Heard Island,Penguins,Sphenisciformes,Spheniscidae,,,gentoo-penguin,http://www.oiseaux-birds.com/card-gentoo-penguin.html,,,,http://www.oiseaux-birds.com/sphenisciformes/spheniscides/manchot-papou/manchot-papou1.jpg,,"Gentoo Penguin breeds on rocky coasts and prefers flat grounds with  scattered vegetation. It avoids ice, and frequents bare hillsides and beaches.  It spends most of time fishing at sea.","CRIPTION: 
    Gentoo Penguin is the largest penguin after Emperor and King Penguins.","Gentoo Penguin lives in Antarctica and  sub-Antarctica islands. It breeds mainly on the Kerguelen Islands, on South  Georgia and in Falklands.","Gentoo Penguin does not fly, but it walks and even runs on the ground  and in spite of its clumsy attitude, it runs easily on land.
But Gentoo Penguin is made for swimming. It can dive at 20 to 200 metres depth. It can  swim rapidly underwater, and it is the fastest swimming bird, reaching speeds  of 35 km  per hour.","Breeding season occurs from spring to autumn, but variation is  considerable with the locality. Gentoo Penguin breeds in small colonies,  sometimes with other species. These colonies can move from year to year, and  penguins breed at some distance from the last year, at about 150 metres. This  behaviour could be a kind of defence against parasites, or a way for allowing  the vegetation to grow again. Such numbers of birds leave heavy accumulation of  excreta.","Gentoo Penguin feeds mainly on krill, but also on fish and squid. It  catches its preys by diving underwater and pursuit. Gentoo Penguin dives deeper  than other species, avoiding competition for food resources. It swallows the  prey head first, and while swimming.","Gentoo Penguin has a wide range, but this species has suffered from  human threats and habitat loss over the last century. Populations seem to be  more stable at this moment, thanks to conservation efforts. 
    Gentoo Penguin, as other species, is preyed upon by skuas, falcons,  gulls, petrels and feral cats which take the eggs and attack the chicks.  
    Adults are taken by Leopard seals, and nests are destroyed by Elephant  seals when they move through the colony.  
    An estimate (Lynch 2012) suggests an increase of the population,  especially in the south of the range. The global population is estimated to  number 387,000 pairs (314,000 pairs in 1993). 
  But currently, the Gentoo Penguin is classified as Near Threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
Avibase
BirdLife International  
Animal Diversity Web - (University of Michigan  Museum of Zoology)
Antarctic Connection (Thomas Hutchings – Gloria Hutchings)
Les  Manchots (François Durand)
New Zealand birds and birding (Narena  Olliver)
Welcome to  the wonderful world of penguins (Dr. Lloyd Davis)
Wikipedia  (Wikipedia, The Free Encyclopedia)"
182,182,Adelie penguin,Pygoscelis adeliae,"vagrant, Macquarie Island, Heard Island",Penguins,Sphenisciformes,Spheniscidae,,,adelie-penguin,http://www.oiseaux-birds.com/card-adelie-penguin.html,,69-71 cm,3600-4500 g,http://www.oiseaux-birds.com/sphenisciformes/spheniscides/manchot-adelie/manchot-adelie-tm1.jpg,,"The Adelie  Penguin is marine. It breeds on ice-free rocky coasts, usually in higher ground  than the Gentoo Penguin. The large  colonies occupy extensive open areas and can be far from open sea.","s adeliae
Sphenisciforme Order – Spheniscidae Family
INTRODUCTION:   
    The name  of the Adelie Penguin pays tribute to Adelie d’Urville, the wife of the French  polar explorer Dumont d’Urville (1790-1842). 
    The Adelie  Penguins are living in the southernmost coldest parts of the range, and this  anomalous distribution could have originated from their peculiar diet. This species  feeds mostly on small krill of order Euphausiacea,  and has been recorded occasionally at depths of 175 metres. 
DESCRIPTION OF THE BIRD:
Biometrics: 
    Length:  69-71 cm
    Weight:  3600-4500 g
The medium-sized  adult has black head, upperparts, flippers and long, wedge-shaped tail. The underparts  are white, except the pale pink under flippers. 
    The bill  is pinkish with black culmen, cutting edges and tip. The base is well feathered,  covered with short black feathers. The eyes are dark, surrounded by conspicuous  white eyering. Short legs and webbed feet are pink with black claws. 
    Both sexes  are similar.
    The juvenile  has white throat and chin, and black eyering.","The Adelie  Penguin has circumpolar distribution, and is common along the entire Antarctic  coast.",,"OF THIS SPECIES: 
    They arrive  at colonies in September/October, and the laying usually occurs in November. 
    They breed  colonially and may form huge aggregations, usually in discrete areas. Nests are  very close to each other.
    The nest  is a shallow depression on the ground, lined with pebbles, slightly higher than  the surrounding area. The male arrives first and starts the nest building. Later,  after some displays and recognition, both mates build the nest. 
    These penguins  are known to steal stones from other nests.",,"The Adelie  Penguin is preyed upon by leopard seals, killer whales and South Polar Skuas. 
    In spite  of large numbers, this species is vulnerable to climate change, especially with  decreases in sea ice concentration. Colonies are disturbed by human activities  such as installation of scientific stations, involving reduction of suitable  breeding grounds, frequent visits to colonies, and helicopters flying overhead. 
    Decreases  begin to be reported in some areas, and the Adelie Penguin is currently  evaluated as Near Threatened.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
Avibase (Lepage Denis) 
BirdLife International (BirdLife International) 
Animal Diversity Web (University of Michigan Museum of Zoology) 
ANIMALS – Explore, discover, connect 
Penguins of the world (Mike Bingham) 
ARKive (Christopher Parsons) 
NATIONAL GEOGRAPHIC
Wikipedia, the free encyclopaedia"
183,183,Chinstrap penguin,Pygoscelis antarcticus,vagrant,Penguins,Sphenisciformes,Spheniscidae,,,chinstrap-penguin,http://www.oiseaux-birds.com/card-chinstrap-penguin.html,,"68-77 cm; Weight: 3, 4-4, 9 kg.</p>\n  <p><strong><u>LONGEVITY</u></strong>: 20 years</p>\n  <p align=""justify""><strong><u>DESCRIPTION</u></strong>:","3, 4-4, 9 kg.",http://www.oiseaux-birds.com/sphenisciformes/spheniscides/manchot-jugulaire/manchot-jugul-marche.jpg,,"Chinstrap Penguin lives close to the sea, in rocky shores, and breed on  steep slopes without snow or ice.","Chinstrap Penguin’s name comes from the narrow black line across its  chin, as a chin-strap.","Chinstrap Penguin has circumpolar range. It is found in the Antarctic  and sub-Antarctic areas. Populations are more abundant in southern Atlantic,  along the coasts of South Orkneys, South Shetlands and South   Sandwich Islands. Small breeding colonies occur on the Balleny Islands,  south of New Zealand.","Chinstrap Penguin does not fly. It can swim very well, and reaches  speeds of 30 km  per hour. It propels itself with help of webbed feet and flippers.",,"Chinstrap Penguin feeds mainly on krill, small fish and crustaceans. It  catches its preys by pursuit-diving underwater. Most of the dives last about 30  seconds.","Chinstrap Penguin populations are not threatened at this moment. Numbers  seem to have increased, thanks to the range expansion, and also with increasing  of krill populations, available with decrease of whale’s populations. 
  Chinstrap Penguin has some predators. Adults are attacked and killed by  Leopard seals, and eggs and chicks are preyed upon by Sheathbills and  Skuas.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
Avibase
Wikipedia  (Wikipedia, The Free Encyclopedia)
Welcome to  the wonderful world of penguins (Dr. Lloyd Davis)
Les Manchots (François Durand)
Antarctic Connection (Thomas Hutchings – Gloria Hutchings)
Longevity records
New Zealand birds and birding (Narena  Olliver)"
185,185,Northern rockhopper penguin,Eudyptes moseleyi,vagrant;,Penguins,Sphenisciformes,Spheniscidae,,,northern-rockhopper-penguin,http://www.oiseaux-birds.com/card-northern-rockhopper-penguin.html,,45-58 cm,2500-3500  g,http://www.oiseaux-birds.com/sphenisciformes/spheniscides/gorfou-moseley/gorfou-moseley-op1.jpg,,"The  Northern Rockhopper Penguin breeds on rocky cliffs and in steep gullies, rocky  shores and lava fields, sometimes with scattered grasses and shrubs. The nesting  sites are often near freshwater natural pools or lagoons for drinking and  bathing. 
    This species  is marine and spends the winter months foraging at sea. Then, it returns to the  shore for breeding in spring.","uin 
Eudyptes moseleyi
Sphenisciforme Order – Spheniscidae Family
INTRODUCTION:
    Formerly  a subspecies of the Southern Rockhopper  Penguin, the Northern Rockhopper Penguin is today considered a full  species. Both species have similar appearance but the latter is larger and has  longer and denser yellow crest. In addition, there are morphological, vocal and  genetic differences too. 
    Classified  as Endangered by BirdLife International,  this species has suffered rapid decline of more than 50% in its usual range,  with poorly known causes. 
    The islands  where breeding colonies are established are reserves in order to manage and  protect these populations. 
DESCRIPTION OF THE BIRD:
Biometrics:
    Length:  45-58 cm
    Weight: 2500-3500  g
The adult  has slate-grey upperparts and white underparts. The flippers are white on the  underside, with partially black leading edge and tip. The size of each flipper is  about 17-18 cm.
    The head  is slate-grey to black. We can see a black occipital crest, and elongated pale  yellow feathers above the eyes. 
    The bill  is brownish-red. The eyes are deep red. Legs and webbed feet are pink.","The  Northern Rockhopper Penguin is found on S Atlantic islands on Tristan da Cunha  and Gough islands, and there are other populations in S Indian Ocean on  Amsterdam and St Paul islands.",,"OF THIS SPECIES:  
    The laying  occurs in early September and the eggs hatch by mid-October.  
    The  Northern Rockhopper Penguin nests colonially, usually in rocky areas with some  vegetation. The nest is made with stones, twigs and available materials in the  surroundings. It is placed near or beneath a rock. 
    Several tracks  lead from the colony to the coast, sometimes very steep, and penguins have to climb  strongly.",,"The  Northern Rockhopper Penguin’s populations are threatened by natural predation, competition  for food, increasing disturbance, oil pollution, introduced predators, reduced  prey supplies due to overfishing and climate change.","HANDBOOK OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions -  ISBN: 8487334105
Avibase (Lepage Denis) 
BirdLife International (BirdLife International) 
ARKive (Christopher Parsons) 
Penguins of the world (Mike Bingham) 
PENGUINWORLD (Lloyd Spencer Davis)
PhotoVolcanica - Photography and Information by Dr Richard Roscoe
Welcome to the Penguin Project"
