,id,common_name,binomial,category,order,family,colour1,colour2,colour3,min_length,max_length,min_weight,max_weight,voice,descriptions,diet,sources,vic,nsw,qld,act,nt,sa,tas,wa
10,25,Canada goose,Branta canadensis,"Ducks, geese and swans",Anseriformes,Anatidae,brown,,,55.0,110.0,1310.0,6500.0,,"Biometrics: (depending on each  subspecies)
    Length: 55-110 cm
    Wingspan: 122-183 cm
    Weight: 1310-6500 g
The Canada Goose is a large goose  with black head and long neck, and conspicuous white patch on the cheek,  extending under the chin and forming a “chin strap”. 
    The upperparts are largely brown,  with pale edges to feathers, forming indistinct bars. Lower back, rump and tail  are black, contrasting with the white V on tail’s base. On the upperwing, the  flight feathers are darker. 
    The underparts are paler, with whitish  breast and yellowish flanks. Lower belly and undertail-coverts are white; the  underwing is dark brown. 
    Bill, legs and webbed feet are  black. The eyes are dark brown.       
    Male and female are similar in  plumage, but the male is larger than the female. 
    The juvenile resembles adults, but  it is duller overall, with brownish head and neck, and pale brownish wash on  cheek patches.",,"HANDBOOK OF THE BIRDS OF THE WORLD  vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
BIRDS OF THE GREAT BASIN – by Fred A. Ryser - Univ of Nevada Pr -ISBN:  0874170796 
FIELD GUIDE TO THE BIRDS OF NORTH  AMERICA - National Geographic Society -ISBN:  0792274512
GUIDE  DES CANARDS, DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé -  ISBN: 2603013769
L’ENCYCLOPEDIE  MONDIALE DES OISEAUX - Dr  Christopher M. Perrins -  BORDAS - ISBN: 2040185607
THE COMPLETE BOOK OF BRITISH BIRDS  – Written by “Royal Society for the Protection of Birds” experts - Préface de  Magnus Magnusson - Michael Cady- Rob Hume  Editors - ISBN: 0749509112  
THE HANDBOOK OF BIRD IDENTIFICATION  FOR EUROPE AND THE WESTERN PALEARCTIC by  Mark Beaman, Steve Madge - C. Helm - ISBN: 0713639601
Avibase  (Denis Lepage) 
BirdLife  International  
HBW Alive 
All About Birds (Cornell Lab of Ornithology) 
Audubon 
ARKive  (Christopher Parsons) 
Animal Diversity Web (University of Michigan Museum of Zoology) 
Bird Web (Seattle Audubon Society) 
SORA Searchable Ornithological Research Archive (Blair O. Wolf) 
Wikipedia,  the free encyclopaedia 
What Bird-The ultimate Bird Guide (Mitchell Waite) 
New Zealand Birds  Online",,1.0,,,,,,
11,26,Radjah shelduck,Tadorna radjah,"Ducks, geese and swans",Anseriformes,Anatidae,white,black,,50.0,60.0,840.0,930.0,,"In this species, male and female are similar. 
    Radjah Shelduck adult is a large duck. It has black  back, rump and tail. Mantel, scapulars and breast band are dark rusty.  
    Breast and belly are white. Upper and under wing  coverts are mainly white. Flight feathers are blackish. Secondary feathers form  bright green speculum, bordered with black in front, and with white stripe  behind. 
    Head and neck are white. 
    Bill, legs and webbed feet are pink. Eyes are very  pale, almost white.
    Juvenile resembles adult, with white parts slightly  washed brownish. On wings, it has more black on great coverts, and duller  speculum. 
    Bill, legs and feet are whitish-pink. Eyes are dark  brown.","Radjah Shelduck feeds mainly on molluscs, insects,  bits of sedges and algae.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia)",,,1.0,,1.0,,,1.0
12,27,Australian shelduck,Tadorna tadornoides,"Ducks, geese and swans",Anseriformes,Anatidae,black,brown,green,55.0,73.0,1300.0,1500.0,,"Australian Shelduck is large and brightly coloured. 
    Adult male has dark plumage in most parts of body,  finely barred with grey. Head and neck are black with green gloss, and we can  see white neck ring, contrasting with black head and neck. It shows sometimes a  small white ring around the bill. 
    Upperparts are mainly black. Upper mantel is  cinnamon-reddish. Upperwings show white shoulder patch, formed by white upper  and under wing coverts. Flight feathers are blackish, and secondary feathers  are glossy green. Tertials are reddish-brown. Tail is black.
    Underparts show cinnamon breast and black belly and  vent. 
    Bill is blackish. Eyes are brown. Legs and webbed feet  are black.","Australian Shelduck feeds mainly on short grasses by  grazing, and seeds, tubers, cereals and vegetables crops. It also consumes  aquatic invertebrates (insects and molluscs) and submerged vegetation, by  dabbling.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
Avibase (Lepage Denis)
Wikipedia (Wikipedia, The Free Encyclopedia) 
Birds in backyards (Birds Australia and Australian Museum)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,28,Paradise shelduck,Tadorna variegata,"Ducks, geese and swans",Anseriformes,Anatidae,black,green,,63.0,71.0,1400.0,1700.0,,"Paradise Shelduck is endemic to New Zealand and  lives only there. This species was discovered by Captain Cook in 1773, and he  named it “Painted Duck”.","Paradise Shelduck feeds on seeds from grasses, clover  and grain, but also consumes insects and earthworms. In estuaries, it feeds on  crustaceans and molluscs, and on aquatic vegetation in grassy rivers.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET  DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
New Zealand birds and birding (Narena Olliver)",,1.0,,,,,,
14,29,Australian wood duck,Chenonetta jubata,"Ducks, geese and swans",Anseriformes,Anatidae,brown,black,,44.0,51.0,662.0,984.0,,Australian Wood Duck looks like a goose in its  attitude and feeding behaviour. It is endemic to Australia.,"Australian Wood Duck feeds mainly on vegetation, such  as grasses, clovers and others, and it may consume insects occasionally.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET  DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis)

Birds in backyards (Birds Australia and Australian Museum) 
Wikipedia (Wikipedia, The Free Encyclopedia) 
Arthur Grosset's Birds (Arthur Grosset)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,30,Pink-eared duck,Malacorhynchus membranaceus,"Ducks, geese and swans",Anseriformes,Anatidae,brown,white,,36.0,45.0,290.0,480.0,,"Biometrics:
    Length:  36-45 cm
    Wingspan:  57-70 cm
    Weight:  M: 290-480 g – F: 272-423 g
The Pink-eared  Duck adult is a small duck with large bill and strongly barred underparts. The upperparts  including mantle, back and wings are brown with narrow paler vermiculations. The  rump is white and the uppertail-coverts are dark brown, whereas the short tail  is brown with narrow white terminal band. The upperwing shows narrow, white  trailing edge. 
    The white  underparts are strongly barred brown from upperbreast to vent, with broader and  darker pattern on flanks. The undertail-coverts are pale chestnut. The underwing  is white with brown flight-feathers and pale barring on underwing-coverts. 
On the  head, forehead and crown are grey but the face is white. There is a conspicuous  dark brown eye-patch, extending as narrow stripe to the nape, and larger stripe  to the hindneck. We can see a small pink patch above and behind the eye. Foreneck,  neck and head sides are white and narrowly barred grey. 
    The massive,  oddly-shaped bill is grey, with a laterally protruding membrane of skin at the  tip of the upper mandible, similar to soft membranous flaps. The eyes are dark  brown. Legs and webbed feet are dark grey. 
The female  resembles male but she is smaller and slightly paler. 
    The juvenile  is duller and browner than adults, with less conspicuous barring and greyer  forehead. The pink “ear” spot is very indistinct.",,"HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Denis Lepage) 
BirdLife International 
Birdlife  Australia 
HBW Alive
New Zealand Birds Online 
Wikipedia, the free encyclopaedia 
Australian Bush Birds 
THE AVIANWEB (Sibylle Faye) 
MacroBird
Norfolk Wildfow - Roger Cattermole",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,33,Garganey,Anas querquedula,"Ducks, geese and swans",Anseriformes,Anatidae,brown,grey,,37.0,41.0,260.0,520.0,,"Biometrics:  
    Length: 37-41 cm
    Wingspan: 60-63 cm
    Weight: M: 260-520 g – F: 240-585 g
The Garganey male in breeding  plumage has broad, white band along the head sides, contrasting with the blackish-brown  forehead and crown. The foreneck is dark reddish-brown with white flecks. From mantle  to uppertail-coverts, the plumage is blackish-brown with pale fringes to  feathers. The tail is grey-brown. On the upperwing, we can see a green speculum  bordered with white above and below. The upperwing-coverts are pale blue-grey. The  elongated scapulars are striped grey, dark green, black and white. 
    On the underparts, the breast is  brown and barred black. The flanks are vermiculated grey and the belly is  white. The undertail is white with dark brown bars and spots. 
    The bill is blackish-grey. The eyes  are warm brown. Legs and webbed feet are greyish.",,"HANDBOOK OF THE BIRDS OF THE WORLD  vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
THE COMPLETE BOOK OF BRITISH BIRDS  – Written by “Royal Society for the Protection of Birds” experts - Préface de  Magnus Magnusson - Michael Cady- Rob Hume  Editors - ISBN: 0749509112  
THE HANDBOOK OF BIRD IDENTIFICATION  FOR EUROPE AND THE WESTERN PALEARCTIC by  Mark Beaman, Steve Madge - C. Helm - ISBN: 0713639601
GUIDE  DES CANARDS, DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé -  ISBN: 2603013769
ENCYCLOPEDIE  DES OISEAUX DE FRANCE ET D’EUROPE – de Peter Hayman et Rob Hume - Flammarion – ISBN :  2082009920
A Field Guide to the Birds of  South-East Asia by Craig Robson. New  Holland Publishers. ISBN: 9781780090498 
BIRDS OF AFRICA SOUTH OF THE SAHARA by Ian Sinclair and Peter Ryan - Princeton University Press  Princeton and Oxford - ISBN: 0691118159
LES  OISEAUX D’EUROPE ET D’AFRIQUE DU NORD par Hermann Heinzel, Richard Fitter, John  Parslow - Delachaux Niestlé - Isbn : 2603014862
Avibase (Denis Lepage) 
Birdlife  International 
HBW Alive
Bird Words - The official site of  Dominic Couzens, natural history writer
Bird Field Guide
What Bird-The ultimate Bird Guide  (Mitchell Waite)
BirdWatchIreland
AVIBIRDS.COM
Bird Web (Seattle Audubon Society)
Wikipedia, the free encyclopaedia
Wildfowl photography
Northern Ireland  Priority Species – Garganey",1.0,1.0,1.0,,1.0,,1.0,1.0
17,35,Northern shoveler,Anas clypeata,"Ducks, geese and swans",Anseriformes,Anatidae,green,white,chestnut,43.0,56.0,500.0,800.0,,"Biometrics: 
    Length: 43-56 cm
    Wingspan: 70-85 cm
    Weight: M: 500-800 g – F: 470-750 g
The  Northern Shoveler adult male in breeding plumage has dark green head and neck, black back with broad, white braces well visible  in flight. On the upperwing, we can see a grey-blue shoulder patch on  wing-coverts, separated from a bright green speculum by a tapered white stripe.  The primaries are brown. Central rump and uppertail are blackish with white  outer rectrices. 
    On the underparts, the breast is  white, whereas belly and body sides are bright chestnut. The underwing-coverts  are whitish and the flight feathers are dark. Vent and undertail-coverts are  blackish.",,"HANDBOOK OF THE BIRDS OF THE WORLD  vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
FIELD GUIDE TO THE BIRDS OF NORTH  AMERICA - National Geographic Society -ISBN:  0792274512
GUIDE  DES CANARDS, DES OIES ET DES CYGNES – de Steve Madge - Delachaux et Niestlé -  ISBN: 2603013769
ENCYCLOPEDIE  DES OISEAUX DE FRANCE ET D’EUROPE – de Peter Hayman et Rob Hume - Flammarion – ISBN :  2082009920
THE COMPLETE BOOK OF BRITISH BIRDS  – Written by “Royal Society for the Protection of Birds” experts - Préface de  Magnus Magnusson - Michael Cady- Rob Hume  Editors - ISBN: 0749509112  
THE HANDBOOK OF BIRD IDENTIFICATION  FOR EUROPE AND THE WESTERN PALEARCTIC by  Mark Beaman, Steve Madge - C. Helm - ISBN: 0713639601
BIRDS OF THE MIDDLE EAST by R.F. Porter, S. Christensen, P Schiermacker-Ansen C.Helm -  ISBN: 0713670169
Avibase  (Denis Lepage) 
IUCN 
Birdlife International 
HBW Alive 
ARKive  (Christopher Parsons) 
All About Birds (Cornell Lab of Ornithology) 
Audubon 
Nature Works 
Bird Web (Seattle Audubon Society) 
Boreal Songbird  Initiative 
Animal Diversity Web (University of Michigan Museum of Zoology) 
Wikipedia,  the free encyclopaedia 
What Bird-The ultimate Bird Guide (Mitchell Waite) 
Birding  Information",1.0,1.0,1.0,,,1.0,,1.0
18,38,Northern pintail,Anas acuta,"Ducks, geese and swans",Anseriformes,Anatidae,brown,white,,51.0,66.0,850.0,1030.0,,"Biometrics:  
    Length:  51-66 cm (with tail)
    Wingspan:  80-95 cm
    Weight:  M: 850-1030 g – F: 735-870 g
The Northern  Pintail adult male in breeding plumage has dark, mostly chocolate-brown head,  nape and throat. The white stripe on neck-side, and white lower foreneck,  breast and centre of underparts create a strong contrast with the dark head. 
    Upperparts  and flanks are heavily vermiculated grey. The long, pointed scapulars and the tertials  are grey with black central stripe. The upperwing is brownish-grey with buff  fringes to greater coverts, and bronzy-green speculum, blacker inwards, with  narrow, black subterminal band and broad white trailing edge. 
    The tail  is white on the sides with black centre. The two elongated central rectrices of  up to 10 centimetres long, show narrow, pale grey fringes.",,"HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep del Hoyo-Andrew Elliot-Jordi Sargatal - Lynx Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
THE  COMPLETE BOOK OF BRITISH BIRDS – Written by “Royal Society for the Protection  of Birds” experts - Préface de Magnus Magnusson - Michael Cady- Rob Hume Editors - ISBN:  0749509112
ENCYCLOPEDIE DES OISEAUX DE FRANCE ET D’EUROPE – de  Peter Hayman et Rob Hume - Flammarion – ISBN : 2082009920
THE  HANDBOOK OF BIRD IDENTIFICATION FOR EUROPE AND THE WESTERN PALEARCTIC by Mark Beaman, Steve Madge - C.Helm  - ISBN: 0713639601
BIRDS  OF THE GREAT BASIN – by Fred A. Ryser - Univ of Nevada Pr -ISBN: 0874170796
Avibase (Denis Lepage) 
BirdLife International 
HBW Alive 
All About Birds (Cornell Lab of  Ornithology) 
Audubon 
ARKive (Christopher Parsons)  
Bird Web (Seattle Audubon Society)  
Nature Works  
What Bird-The ultimate Bird Guide  (Mitchell Waite)  
Wikipedia, the free encyclopaedia 
WATERFOWL  MANAGEMENT HANDBOOK
Life History, Strategies and Habitat  Needs of the Northern Pintail",,1.0,,,1.0,,,1.0
19,40,Pacific black duck,Anas superciliosa,"Ducks, geese and swans",Anseriformes,Anatidae,brown,,,54.0,61.0,1025.0,1114.0,,Pacific Black Duck has same appearance in all  plumages. It is a dabbling duck.,"Pacific Black Duck feeds mainly on aquatic vegetation,  such as shoots, seeds, tubers and roots, but it may add small crustaceans,  molluscs and aquatic insects, snails and other small invertebrates. It can also  feed inland in flooded meadows.","HANDBOOK  OF THE BIRDS OF THE WORLD vol 1 by Josep  del  Hoyo-Andrew Elliot-Jordi Sargatal - Lynx  Edicions - ISBN: 8487334105
GUIDE DES CANARDS, DES OIES ET  DES CYGNES – de  Steve Madge - Delachaux et Niestlé - ISBN: 2603013769
Avibase (Lepage Denis) 
Birds in backyards (Birds Australia and Australian Museum) 
BirdLife International (BirdLife International)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
